"country","pop2022"
"Niue","1.6220"
"Tuvalu","12.0660"
"Cook Islands","17.5710"
"Palau","18.2330"
"San Marino","34.0850"
"Liechtenstein","38.3870"
"Monaco","39.7830"
"Andorra","77.4630"
"Isle of Man","85.7320"
"Seychelles","99.4260"
"Antigua and Barbuda","99.5090"
"Tonga","107.7490"
"Saint Vincent and the Grenadines","111.5510"
"Kiribati","123.4190"
"Saint Lucia","185.1130"
"Samoa","202.2390"
"Barbados","288.0230"
"Vanuatu","321.8320"
"Iceland","345.3930"
"Bahamas","400.5160"
"Belize","412.1900"
"Malta","444.0330"
"Brunei","445.4310"
"Maldives","540.9850"
"Montenegro","627.9500"
"Luxembourg","642.3710"
"Macau","667.4900"
"Bhutan","787.9410"
"Guyana","794.0450"
"Fiji","909.4660"
"Cyprus","1223.3870"
"Mauritius","1274.7270"
"Estonia","1321.9100"
"Timor-Leste","1369.4290"
"Trinidad and Tobago","1406.5850"
"Bahrain","1783.9830"
"Latvia","1848.8370"
"Slovenia","2078.0340"
"Gabon","2331.5330"
"Botswana","2441.1620"
"Namibia","2633.8740"
"Lithuania","2661.7080"
"Albania","2866.3740"
"Qatar","2979.9150"
"Jamaica","2985.0940"
"Bosnia and Herzegovina","3249.3170"
"Uruguay","3496.0160"
"Eritrea","3662.2440"
"Georgia","3968.7380"
"Moldova","4013.1710"
"Croatia","4059.2860"
"Kuwait","4380.3260"
"Panama","4446.9640"
"New Zealand","4898.2030"
"Costa Rica","5182.3540"
"Oman","5323.9930"
"Slovakia","5460.1930"
"Finland","5554.9600"
"Denmark","5834.9500"
"Singapore","5943.5460"
"Bulgaria","6844.5970"
"Paraguay","7305.8430"
"Hong Kong","7604.2990"
"Serbia","8653.0160"
"Switzerland","8773.6370"
"Israel","8922.8920"
"Austria","9066.7100"
"Belarus","9432.8000"
"Hungary","9606.2590"
"United Arab Emirates","10081.7850"
"Portugal","10140.5700"
"Sweden","10218.9710"
"Greece","10316.6370"
"Czech Republic","10736.7840"
"Cuba","11305.6520"
"Belgium","11668.2780"
"Bolivia","11992.6560"
"Tunisia","12046.6560"
"Rwanda","13600.4640"
"Netherlands","17211.4470"
"Ecuador","18113.3610"
"Romania","19031.3350"
"Kazakhstan","19205.0430"
"Chile","19250.1950"
"Zambia","19470.2340"
"Sri Lanka","21575.8420"
"Burkina Faso","22102.8380"
"Taiwan","23888.5950"
"Australia","26068.7920"
"Venezuela","29266.9910"
"Ghana","32395.4500"
"Malaysia","33181.0720"
"Peru","33684.2080"
"Uzbekistan","34382.0840"
"Saudi Arabia","35844.9090"
"Poland","37739.7850"
"Canada","38388.4190"
"Ukraine","43192.1220"
"Algeria","45350.1480"
"Argentina","46010.2340"
"Spain","46719.1420"
"South Korea","51329.8990"
"Colombia","51512.7620"
"Italy","60262.7700"
"France","65584.5180"
"United Kingdom","68497.9070"
"Thailand","70078.2030"
"Germany","83883.5960"
"Turkey","85561.9760"
"Iran","86022.8370"
"Japan","125584.8380"
"Mexico","131562.7720"
"Russia","145805.9470"
"Brazil","215353.5930"
"Pakistan","229488.9940"
"China","1448471.4000"