"country","womensDangerIndex","streetSafety","intentionalHomicide","nonPartnerViolence","intimatePartnerViolence","legalDiscrimination","globalGenderGap","genderInequality","attitudesTowardViolence"
"South Africa","771.8200","100","100","100","56","28","59","74","56"
"Brazil","624.2800","96","49","44","82","30","76","78","25"
"Russia","592.7100","69","77","40","47","50","73","49","41"
"Mexico","576.0500","89","49","88","31","15","74","65","26"
"Iran","553.1100","69","11","26","59","85","100","88","34"
"Dominican Republic","551.3200","89","35","59","50","28","73","86","7"
"Egypt","546.9100","71","7","26","58","65","94","86","64"
"Morocco","542.7500","59","6","26","100","46","96","92","52"
"India","541.2500","41","30","19","83","44","79","100","74"
"Thailand","533.2200","45","13","30","98","41","73","75","100"
"Malaysia","527.6400","72","8","30","66","69","79","55","69"
"Saudi Arabia","524.3600","56","13","30","60","100","100","45","52"
"Turkey","521.8300","72","18","26","84","41","90","60","41"
"Argentina","494.1100","92","19","34","73","26","64","68","7"
"Chile","487.9600","81","11","34","79","39","71","61","20"
"Cambodia","485.7300","65","6","23","47","30","78","90","75"
"Bahrain","476.0900","64","14","26","30","81","88","42","52"
"Tunisia","468.2600","63","11","26","45","59","84","57","49"
"United States","456.3100","51","25","75","81","24","68","36","21"
"Ukraine","453.6100","81","27","6","29","41","71","54","36"
"United Arab Emirates","450.6600","51","13","26","30","87","84","44","52"
"Vietnam","449.6500","63","5","11","76","37","72","58","59"
"China","444.5500","23","6","70","86","44","78","29","80"
"Indonesia","442.1000","37","3","30","66","54","74","86","51"
"Philippines","408.2300","55","25","30","32","31","50","81","23"
"Bulgaria","380.8400","61","7","34","47","30","59","41","34"
"Hungary","375.8900","57","18","17","47","19","79","49","15"
"Belgium","372.8800","63","16","46","53","26","63","9","20"
"Australia","370.1000","57","7","95","38","17","65","21","7"
"South Korea","366.9800","51","8","70","31","20","84","12","31"
"Japan","366.2000","47","3","70","34","37","82","20","23"
"Greece","337.8000","71","5","6","42","22","74","23","20"
"Germany","335.1000","41","12","40","49","39","53","14","33"
"Sweden","326.4200","44","7","69","62","22","44","8","20"
"Czech Republic","325.3300","47","7","23","47","30","75","24","20"
"Italy","323.1900","59","5","29","42","22","74","17","11"
"Denmark","320.6500","28","9","63","71","31","54","8","20"
"France","309.9200","40","12","52","58","17","53","16","11"
"Netherlands","302.8100","32","4","69","56","20","63","8","15"
"United Kingdom","296.8500","31","10","40","64","15","55","22","20"
"Poland","291.2300","53","4","11","29","30","65","25","16"
"Canada","290.8300","35","9","75","14","31","55","18","10"
"Croatia","286.5300","43","10","17","29","22","69","24","20"
"Portugal","277.5800","47","10","6","42","17","64","17","20"
"Norway","259.9200","16","5","66","62","22","41","9","18"
"Switzerland","252.7800","15","7","66","22","30","59","7","26"
"Austria","251.6300","27","8","23","29","28","70","14","20"
"Ireland","247.3100","35","4","29","33","19","49","21","20"
"Singapore","245.2600","9","5","19","14","46","71","13","67"
"Spain","212.0400","24","5","17","29","15","61","15","16"